code,prefecture,【18】小学校の校長の男女比,【19】中学の校長の男女比,【20】高校の校長の男女比,【21】小中高校の副校長・教頭の男女比,【22】都道府県教育委員会委員の男女比,【23】都道府県教育委員会事務局の管理職の男女比
1,北海道,0.137,0.078,0.043,0.13,0.667,0.13
2,青森県,0.218,0.07,0.193,0.163,0.667,0.352
3,岩手県,0.36,0.053,0.056,0.322,0.667,0.205
4,宮城県,0.328,0.188,0.083,0.258,1,0.242
5,秋田県,0.261,0.086,0.089,0.291,0.667,0
6,山形県,0.224,0.034,0.188,0.317,1,0.069
7,福島県,0.128,0.025,0.047,0.129,0.667,0.124
8,茨城県,0.383,0.166,0.115,0.378,1,0.189
9,栃木県,0.518,0.104,0.131,0.569,0.667,0.234
10,群馬県,0.316,0.069,0.069,0.352,0.667,0.106
11,埼玉県,0.326,0.121,0.08,0.229,0.667,0.19
12,千葉県,0.372,0.094,0.041,0.28,0.667,0.067
13,東京都,0.323,0.119,0.13,0.356,1,0.328
14,神奈川県,0.695,0.225,0.203,0.538,1,0.267
15,新潟県,0.227,0.082,0.065,0.163,0.667,0.209
16,富山県,0.6,0.156,0.119,0.577,0.667,0.189
17,石川県,1,0.242,0.122,0.601,0.667,0.098
18,福井県,0.457,0.179,0.067,0.443,0.5,0.282
19,山梨県,0.111,0.052,0.176,0.239,1,0.184
20,長野県,0.304,0.121,0.105,0.257,0.667,0.295
21,岐阜県,0.425,0.114,0.092,0.456,0.667,0.459
22,静岡県,0.33,0.091,0.148,0.321,0.25,0.235
23,愛知県,0.366,0.07,0.12,0.334,1,0.074
24,三重県,0.4,0.104,0.097,0.421,1,0.266
25,滋賀県,0.36,0.12,0.058,0.458,0.667,0.286
26,京都府,0.487,0.145,0.094,0.332,0.667,0.176
27,大阪府,0.371,0.167,0.14,0.247,0.667,0.128
28,兵庫県,0.279,0.107,0.09,0.251,0.667,0.267
29,奈良県,0.302,0.07,0.083,0.273,0.667,0.353
30,和歌山県,0.42,0.071,0.162,0.468,1,0.241
31,鳥取県,0.307,0.062,0.067,0.485,0.667,0.404
32,島根県,0.104,0.084,0.122,0.226,1,0.191
33,岡山県,0.453,0.178,0.135,0.413,0.667,0.262
34,広島県,0.781,0.182,0.107,0.61,0.667,0.24
35,山口県,0.272,0.086,0.047,0.335,0.25,0.04
36,徳島県,0.173,0.132,0.148,0.405,0.667,0.242
37,香川県,0.315,0.051,0.081,0.45,1,0.038
38,愛媛県,0.228,0.06,0.082,0.191,1,0.3
39,高知県,0.46,0.16,0.162,0.598,0.667,0.429
40,福岡県,0.416,0.135,0.134,0.35,0.667,0.213
41,佐賀県,0.355,0.066,0.051,0.365,0.667,0.118
42,長崎県,0.119,0.077,0.068,0.135,0.667,0.181
43,熊本県,0.316,0.039,0.097,0.235,0.667,0.085
44,大分県,0.241,0.064,0.019,0.248,0.667,0.08
45,宮崎県,0.143,0.061,0.043,0.176,1,0.071
46,鹿児島県,0.164,0.059,0.086,0.168,0.667,0.209
47,沖縄県,0.387,0.154,0.145,0.223,0.667,0.182
