code,prefecture,小学校の校長の男女比,小中高校の副校長・教頭の男女比,大学進学率の男女格差,中学・高校の校長の男女比,都道府県教育委員会委員の男女比,都道府県教育委員会事務局の管理職における男女比
1,北海道,0.141498216409037,0.130410022779043,0.801343520592592,0.061437908496732,0.666666666666667,0.12
2,青森県,0.208333333333333,0.175438596491228,0.936249591886806,0.0757575757575758,0.666666666666667,0.350649350649351
3,岩手県,0.291304347826087,0.28538283062645,0.936792997717734,0.0476190476190476,0.666666666666667,0.162790697674419
4,宮城県,0.302158273381295,0.233057851239669,0.885091744305897,0.1417004048583,1,0.225806451612903
5,秋田県,0.25,0.226708074534162,0.917684460410767,0.0344827586206897,0.666666666666667,0
6,山形県,0.163265306122449,0.281524926686217,0.901795006502815,0.0970149253731343,1,0.0857142857142857
7,福島県,0.117816091954023,0.111428571428571,0.884315546763636,0.0310344827586207,0.666666666666667,0.119047619047619
8,茨城県,0.329479768786127,0.344827586206897,0.895715549391873,0.136842105263158,1,0.13953488372093
9,栃木県,0.47008547008547,0.548628428927681,0.873288303733032,0.0833333333333333,0.666666666666667,0.22
10,群馬県,0.325991189427313,0.304932735426009,0.868745871802138,0.062780269058296,0.666666666666667,0.0338983050847458
11,埼玉県,0.313821138211382,0.224905660377358,0.800284947689344,0.0936936936936937,0.25,0.156862745098039
12,千葉県,0.313588850174216,0.291845493562232,0.853813552701284,0.0717131474103586,0.666666666666667,0.0263157894736842
13,東京都,0.33025641025641,0.349253731343284,0.99155130815884,0.104638619201726,0.666666666666667,0.307017543859649
14,神奈川県,0.632958801498127,0.528813559322034,0.864914502023128,0.179962894248609,1,0.298850574712644
15,新潟県,0.26,0.160789844851904,0.827967590279941,0.0733333333333333,0.666666666666667,0.137254901960784
16,富山県,0.487394957983193,0.53968253968254,0.920477969495294,0.115044247787611,0.666666666666667,0.0731707317073171
17,石川県,0.796296296296296,0.5850622406639,0.887691044863855,0.181034482758621,0.666666666666667,0.0638297872340425
18,福井県,0.388059701492537,0.409090909090909,0.853604482846516,0.0729166666666667,0.5,0.25
19,山梨県,0.0897435897435897,0.164473684210526,0.750191546350175,0.0695652173913043,1,0.0975609756097561
20,長野県,0.228070175438596,0.272893772893773,0.884075983439017,0.110204081632653,0.666666666666667,0.319148936170213
21,岐阜県,0.335849056603774,0.403284671532847,0.901875393237641,0.101694915254237,0.666666666666667,0.426229508196721
22,静岡県,0.302139037433155,0.278169014084507,0.848978998777997,0.114613180515759,0.25,0.420289855072464
23,愛知県,0.296246648793566,0.330181818181818,0.896411945338416,0.0733788395904437,1,0.0625
24,三重県,0.330739299610895,0.416091954022988,0.86139648087223,0.0686274509803922,1,0.25
25,滋賀県,0.351851851851852,0.422442244224422,0.858096013637528,0.0882352941176471,0.666666666666667,0.3
26,京都府,0.444444444444444,0.308108108108108,0.95765762160856,0.100436681222707,0.666666666666667,0.205882352941176
27,大阪府,0.336538461538462,0.254259501965924,0.864609611295733,0.13968253968254,0.666666666666667,0.162790697674419
28,兵庫県,0.23993288590604,0.232949512843224,0.958358371156297,0.092741935483871,0.666666666666667,0.196078431372549
29,奈良県,0.277027027027027,0.248366013071895,0.861789016741471,0.0652173913043478,0.666666666666667,0.4
30,和歌山県,0.393939393939394,0.423728813559322,0.867141969997697,0.079136690647482,1,0.15
31,鳥取県,0.260869565217391,0.5,0.933975491485111,0.0632911392405063,0.666666666666667,0.391304347826087
32,島根県,0.116959064327485,0.205980066445183,0.854330395017963,0.0967741935483871,1,0.176470588235294
33,岡山県,0.404411764705882,0.375912408759124,0.92275586860555,0.178217821782178,0.666666666666667,0.253164556962025
34,広島県,0.750972762645914,0.589877835951134,0.944651821864951,0.127035830618893,1,0.230769230769231
35,山口県,0.207207207207207,0.301310043668122,0.949930076461068,0.0732984293193717,0.25,0.0547945205479452
36,徳島県,0.154929577464789,0.333333333333333,1,0.112244897959184,0.666666666666667,0.315789473684211
37,香川県,0.333333333333333,0.368965517241379,0.906193501276962,0.0612244897959184,1,0.166666666666667
38,愛媛県,0.183856502242152,0.188679245283019,0.92743907492733,0.0411764705882353,1,0.238095238095238
39,高知県,0.479674796747967,0.5,0.982643221680496,0.121951219512195,0.666666666666667,0.291666666666667
40,福岡県,0.376699029126214,0.328195829555757,0.954295996993807,0.0979955456570156,1,0.151162790697674
41,佐賀県,0.283185840707965,0.325,0.821653577352051,0.0884955752212389,0.666666666666667,0.1
42,長崎県,0.120996441281139,0.119429590017825,0.914070853647709,0.0599078341013825,0.666666666666667,0.121621621621622
43,熊本県,0.2890625,0.198230088495575,0.961382477152873,0.0560747663551402,0.666666666666667,0.0851063829787234
44,大分県,0.252577319587629,0.251295336787565,0.835280566307415,0.0496894409937888,0.666666666666667,0.08
45,宮崎県,0.122340425531915,0.138539042821159,0.929975519639989,0.036144578313253,0.5,0.0714285714285714
46,鹿児島県,0.153846153846154,0.164756446991404,0.808163429497788,0.0674603174603175,0.666666666666667,0.155555555555556
47,沖縄県,0.352941176470588,0.22196261682243,1,0.130434782608696,0.666666666666667,0.181818181818182
